method,N,T2prime_ms,median,p95,max,median_pct,p95_pct,max_pct
gauss,3,25.0,0.06786974,0.07486301362514496,0.081557,6.786974,7.486301362514496,8.1557
gauss,5,25.0,0.043915916,0.0455007441341877,0.047219533,4.3915915,4.55007441341877,4.7219534
gauss,7,25.0,0.01811832,0.024195353873074046,0.031367876,1.811832,2.4195353873074046,3.1367877
gauss,9,25.0,0.0011436751,0.007863019593060006,0.015330619,0.11436751,0.7863019593060007,1.5330619
gauss,11,25.0,0.011315379,0.02273427546024321,0.03625311,1.1315379,2.273427546024321,3.625311
gauss,15,25.0,0.012237161,0.013677284261211752,0.015138652,1.2237161,1.367728426121175,1.5138652
gauss,21,25.0,0.0024606008,0.005522308358922597,0.009103526,0.24606007,0.5522308358922596,0.91035265
gauss,31,25.0,0.00073445606,0.005853212159126989,0.011666806,0.0734456,0.5853212159126989,1.1666807
quantile,3,25.0,0.078824595,0.08366226218640804,0.08935649,7.8824596,8.366226218640804,8.935649
quantile,5,25.0,0.06902574,0.07027702666819095,0.07074095,6.902574,7.027702666819096,7.0740952
quantile,7,25.0,0.06185312,0.06755347792059183,0.07416043,6.185312,6.755347792059182,7.416043
quantile,9,25.0,0.054965243,0.055690374225378036,0.056362376,5.4965243,5.569037422537804,5.6362376
quantile,11,25.0,0.048536696,0.05000515840947628,0.051469658,4.8536696,5.000515840947628,5.146966
quantile,15,25.0,0.037563752,0.03803340028971434,0.03846721,3.7563753,3.8033400289714336,3.846721
quantile,21,25.0,0.024392158,0.03099676128476857,0.03884506,2.4392157,3.0996761284768573,3.8845057
quantile,31,25.0,0.0093771685,0.009964028326794504,0.010546273,0.93771684,0.9964028326794504,1.0546273
gauss,3,50.0,0.03141413,0.032960424199700356,0.03456769,3.141413,3.2960424199700356,3.4567692
gauss,5,50.0,0.023786781,0.025687243137508628,0.027353495,2.378678,2.5687243137508626,2.7353497
gauss,7,50.0,0.017485915,0.02255877535790204,0.028631143,1.7485914,2.255877535790204,2.8631144
gauss,9,50.0,0.011394566,0.013479166710749266,0.015950013,1.1394566,1.3479166710749266,1.5950013
gauss,11,50.0,0.006656651,0.010578320082277054,0.015256578,0.6656651,1.0578320082277053,1.5256578
gauss,15,50.0,0.0015659789,0.012961853295564634,0.025806043,0.15659788,1.2961853295564634,2.5806043
gauss,21,50.0,0.00028941347,0.007726698368787755,0.015629796,0.028941346,0.7726698368787756,1.5629796
gauss,31,50.0,0.00010405696,0.004143412993289524,0.0085252095,0.010405696,0.4143412993289524,0.85252094
quantile,3,50.0,0.03387473,0.035798064619302745,0.037768304,3.387473,3.5798064619302745,3.7768304
quantile,5,50.0,0.03145907,0.03281713631004095,0.03429176,3.1459072,3.2817136310040946,3.4291759
quantile,7,50.0,0.028731585,0.03047436401247978,0.032180663,2.8731585,3.047436401247978,3.2180662
