batch_size,repeat,spins,timepoints,samples,time_s,spins_per_s,samples_per_s,peak_mem_MB,avg_util_gpu,util_samples
1,1,101,1000,101000,23.441611083,4.308577582077787,4308.577582077787,291.0,17.634920634920636,189
1,2,101,1000,101000,23.377191801,4.320450499776434,4320.450499776434,291.0,17.442708333333332,192
1,3,101,1000,101000,23.209376619,4.351689476972764,4351.689476972763,291.0,17.71657754010695,187
1,4,101,1000,101000,23.292709485,4.33612071043267,4336.12071043267,291.0,17.64021164021164,189
1,5,101,1000,101000,23.384867041,4.31903246757485,4319.03246757485,291.0,17.673684210526314,190
1,6,101,1000,101000,23.388294403,4.318399548923277,4318.399548923277,291.0,17.364583333333332,96
1,7,101,1000,101000,23.310092278,4.332887180173179,4332.887180173178,291.0,17.77659574468085,94
1,8,101,1000,101000,23.453171324,4.306453852432533,4306.453852432533,291.0,17.375,96
5,1,505,1000,505000,23.534843624,21.457546439145187,21457.546439145186,355.0,18.43979057591623,191
5,2,505,1000,505000,23.542330355,21.45072269333551,21450.722693335512,355.0,18.8,190
5,3,505,1000,505000,23.508684193,21.481423454162098,21481.423454162097,355.0,18.52910052910053,189
5,4,505,1000,505000,23.565848876,21.429315050658055,21429.315050658053,355.0,18.40625,192
5,5,505,1000,505000,23.567442165,21.427866310836876,21427.86631083688,355.0,18.51832460732984,191
5,6,505,1000,505000,23.443245072,21.541386375863077,21541.386375863076,323.0,18.916666666666668,96
5,7,505,1000,505000,23.403995788,21.57751200155873,21577.51200155873,323.0,18.791666666666668,96
5,8,505,1000,505000,23.506333874,21.483571309202446,21483.57130920245,323.0,18.71875,96
10,1,1010,1000,1010000,23.603024427,42.79112632890553,42791.12632890553,451.0,19.378238341968913,193
10,2,1010,1000,1010000,23.472117987,43.029776885042374,43029.776885042374,451.0,19.604166666666668,192
10,3,1010,1000,1010000,23.735213759,42.55280825591995,42552.80825591995,451.0,19.3,190
10,4,1010,1000,1010000,23.652264411,42.702042495782244,42702.04249578224,451.0,19.338541666666668,192
10,5,1010,1000,1010000,23.83842864,42.36856444074747,42368.56444074747,451.0,19.36842105263158,190
10,6,1010,1000,1010000,24.281878451,41.594805032820894,41594.80503282089,387.0,19.123711340206185,97
10,7,1010,1000,1010000,23.584681333,42.82440732352803,42824.40732352803,387.0,19.333333333333332,96
10,8,1010,1000,1010000,23.524148676,42.93460366667511,42934.60366667511,387.0,19.5625,96
50,1,5050,1000,5050000,26.124548177,193.3047785471754,193304.7785471754,995.0,20.004878048780487,205
50,2,5050,1000,5050000,24.960548649,202.31927074256515,202319.27074256516,995.0,21.195,200
50,3,5050,1000,5050000,24.748913131,204.04936464359196,204049.36464359198,995.0,21.257575757575758,198
50,4,5050,1000,5050000,24.923422721,202.6206455080893,202620.6455080893,995.0,21.081218274111674,197
50,5,5050,1000,5050000,25.075180517,201.3943627076302,201394.3627076302,995.0,20.875,200
50,6,5050,1000,5050000,25.027906575,201.7747662940523,201774.7662940523,771.0,21.27,100
50,7,5050,1000,5050000,25.181779129,200.54182725255848,200541.82725255846,739.0,20.91089108910891,101
50,8,5050,1000,5050000,25.102652563,201.17395909958282,201173.95909958283,771.0,20.82,100
100,1,10100,1000,10100000,25.342835884,398.5347198802071,398534.7198802071,1731.0,21.155778894472363,199
100,2,10100,1000,10100000,25.329418207,398.7458344861936,398745.8344861936,1731.0,20.939698492462313,199
100,3,10100,1000,10100000,25.26835211,399.7094846562197,399709.48465621966,1731.0,21.30808080808081,198
100,4,10100,1000,10100000,25.364428632,398.19544711753315,398195.4471175332,1731.0,20.738693467336685,199
