batch_size,repeat,timepoints,spins,samples,t_gpu_s,t_build_s,t_split_s,t_total_s,pct_gpu,pct_overhead,gpu_name,started_at,finished_at,checksum,mem_total_B,mem_free_before_B,mem_used_before_B,mem_free_after_B,mem_used_after_B,mem_used_after_pct
1,1,1000,100,1000,22.471838,0.000027,0.583518,23.746896,94.63,5.37,Tesla T4,2025-08-27 09:47:25,2025-08-27 09:47:49,4.476923e+04,15642329088,15490351104,151977984,15490351104,151977984,0.97
1,2,1000,100,1000,22.323249,0.000013,0.000202,22.323695,100.00,0.00,Tesla T4,2025-08-27 09:47:50,2025-08-27 09:48:13,4.476923e+04,15642329088,15523905536,118423552,15490351104,151977984,0.97
1,3,1000,100,1000,22.459618,0.000022,0.000185,22.460029,100.00,0.00,Tesla T4,2025-08-27 09:48:13,2025-08-27 09:48:36,4.476923e+04,15642329088,15523905536,118423552,15490351104,151977984,0.97
1,4,1000,100,1000,22.382927,0.000011,0.000196,22.383359,100.00,0.00,Tesla T4,2025-08-27 09:48:36,2025-08-27 09:48:58,4.476923e+04,15642329088,15523905536,118423552,15490351104,151977984,0.97
1,5,1000,100,1000,22.293500,0.000019,0.000195,22.293961,100.00,0.00,Tesla T4,2025-08-27 09:48:59,2025-08-27 09:49:21,4.476923e+04,15642329088,15523905536,118423552,15490351104,151977984,0.97
1,6,1000,100,1000,22.549608,0.000015,0.000201,22.550057,100.00,0.00,Tesla T4,2025-08-27 09:49:22,2025-08-27 09:49:44,4.476923e+04,15642329088,15523905536,118423552,15490351104,151977984,0.97
1,7,1000,100,1000,22.268657,0.000021,0.000224,22.269158,100.00,0.00,Tesla T4,2025-08-27 09:49:45,2025-08-27 09:50:07,4.476923e+04,15642329088,15523905536,118423552,15490351104,151977984,0.97
1,8,1000,100,1000,22.324667,0.000017,0.000178,22.325099,100.00,0.00,Tesla T4,2025-08-27 09:50:07,2025-08-27 09:50:30,4.476923e+04,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,1,1000,500,5000,22.456238,0.000149,0.000632,22.457229,100.00,0.00,Tesla T4,2025-08-27 09:50:30,2025-08-27 09:50:52,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,2,1000,500,5000,22.537626,0.000221,0.000643,22.538723,100.00,0.00,Tesla T4,2025-08-27 09:50:53,2025-08-27 09:51:15,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,3,1000,500,5000,22.695145,0.000213,0.000630,22.696205,100.00,0.00,Tesla T4,2025-08-27 09:51:16,2025-08-27 09:51:39,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,4,1000,500,5000,22.634920,0.000221,0.000662,22.636025,100.00,0.00,Tesla T4,2025-08-27 09:51:39,2025-08-27 09:52:02,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,5,1000,500,5000,22.938317,0.000215,0.000687,22.939437,100.00,0.00,Tesla T4,2025-08-27 09:52:02,2025-08-27 09:52:25,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,6,1000,500,5000,23.039106,0.000213,0.000699,23.040255,100.00,0.00,Tesla T4,2025-08-27 09:52:25,2025-08-27 09:52:49,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,7,1000,500,5000,22.587180,0.000216,0.000671,22.588295,100.00,0.00,Tesla T4,2025-08-27 09:52:49,2025-08-27 09:53:12,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
5,8,1000,500,5000,22.578975,0.000202,0.000680,22.580080,100.00,0.00,Tesla T4,2025-08-27 09:53:12,2025-08-27 09:53:35,1.698332e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,1,1000,1000,10000,23.034787,0.000203,0.001379,23.036593,99.99,0.01,Tesla T4,2025-08-27 09:53:35,2025-08-27 09:53:58,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,2,1000,1000,10000,22.976156,0.000060,0.001205,22.977635,99.99,0.01,Tesla T4,2025-08-27 09:53:58,2025-08-27 09:54:21,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,3,1000,1000,10000,22.736412,0.000067,0.001148,22.737850,99.99,0.01,Tesla T4,2025-08-27 09:54:22,2025-08-27 09:54:45,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,4,1000,1000,10000,23.093810,0.000078,0.001186,23.095303,99.99,0.01,Tesla T4,2025-08-27 09:54:45,2025-08-27 09:55:08,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,5,1000,1000,10000,22.636710,0.000074,0.001175,22.638189,99.99,0.01,Tesla T4,2025-08-27 09:55:09,2025-08-27 09:55:31,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,6,1000,1000,10000,22.630653,0.000060,0.001165,22.632087,99.99,0.01,Tesla T4,2025-08-27 09:55:32,2025-08-27 09:55:54,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,7,1000,1000,10000,23.210425,0.000060,0.001158,23.211850,99.99,0.01,Tesla T4,2025-08-27 09:55:55,2025-08-27 09:56:18,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
10,8,1000,1000,10000,23.030654,0.000058,0.001176,23.032121,99.99,0.01,Tesla T4,2025-08-27 09:56:18,2025-08-27 09:56:41,2.648259e+05,15642329088,15523905536,118423552,15490351104,151977984,0.97
50,1,1000,5000,50000,25.502304,0.000112,0.004987,25.507611,99.98,0.02,Tesla T4,2025-08-27 09:56:42,2025-08-27 09:57:07,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
50,2,1000,5000,50000,24.370168,0.000143,0.005200,24.375732,99.98,0.02,Tesla T4,2025-08-27 09:57:08,2025-08-27 09:57:32,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
50,3,1000,5000,50000,24.056229,0.000167,0.005114,24.061739,99.98,0.02,Tesla T4,2025-08-27 09:57:33,2025-08-27 09:57:57,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
50,4,1000,5000,50000,24.119259,0.000261,0.005093,24.124833,99.98,0.02,Tesla T4,2025-08-27 09:57:57,2025-08-27 09:58:21,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
50,5,1000,5000,50000,24.197186,0.000262,0.005134,24.202801,99.98,0.02,Tesla T4,2025-08-27 09:58:22,2025-08-27 09:58:46,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
50,6,1000,5000,50000,24.285947,0.000144,0.005069,24.291380,99.98,0.02,Tesla T4,2025-08-27 09:58:46,2025-08-27 09:59:11,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
50,7,1000,5000,50000,24.279578,0.000132,0.004597,24.284529,99.98,0.02,Tesla T4,2025-08-27 09:59:11,2025-08-27 09:59:35,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
50,8,1000,5000,50000,24.145754,0.000132,0.005024,24.151127,99.98,0.02,Tesla T4,2025-08-27 09:59:36,2025-08-27 10:00:00,5.054251e+05,15642329088,15523905536,118423552,15423242240,219086848,1.40
100,1,1000,10000,100000,24.455475,0.000181,0.009335,24.465232,99.96,0.04,Tesla T4,2025-08-27 10:00:00,2025-08-27 10:00:25,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
100,2,1000,10000,100000,24.365762,0.000217,0.009197,24.375402,99.96,0.04,Tesla T4,2025-08-27 10:00:25,2025-08-27 10:00:50,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
100,3,1000,10000,100000,24.372029,0.000222,0.009687,24.382211,99.96,0.04,Tesla T4,2025-08-27 10:00:50,2025-08-27 10:01:14,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
100,4,1000,10000,100000,24.564481,0.000192,0.009713,24.574619,99.96,0.04,Tesla T4,2025-08-27 10:01:15,2025-08-27 10:01:39,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
100,5,1000,10000,100000,24.625671,0.000204,0.010028,24.636133,99.96,0.04,Tesla T4,2025-08-27 10:01:40,2025-08-27 10:02:05,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
100,6,1000,10000,100000,24.341772,0.000204,0.010336,24.352554,99.96,0.04,Tesla T4,2025-08-27 10:02:05,2025-08-27 10:02:29,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
100,7,1000,10000,100000,24.265003,0.000201,0.009939,24.275391,99.96,0.04,Tesla T4,2025-08-27 10:02:30,2025-08-27 10:02:54,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
100,8,1000,10000,100000,24.264465,0.000209,0.010023,24.274965,99.96,0.04,Tesla T4,2025-08-27 10:02:54,2025-08-27 10:03:19,9.734717e+05,15642329088,15523905536,118423552,15389687808,252641280,1.62
250,1,1000,25000,250000,25.137050,0.000428,0.023972,25.161699,99.90,0.10,Tesla T4,2025-08-27 10:03:19,2025-08-27 10:03:44,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
250,2,1000,25000,250000,25.138695,0.000925,0.022461,25.162312,99.91,0.09,Tesla T4,2025-08-27 10:03:45,2025-08-27 10:04:10,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
250,3,1000,25000,250000,24.861473,0.000392,0.025274,24.887378,99.90,0.10,Tesla T4,2025-08-27 10:04:10,2025-08-27 10:04:35,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
250,4,1000,25000,250000,24.857772,0.000394,0.022419,24.880816,99.91,0.09,Tesla T4,2025-08-27 10:04:36,2025-08-27 10:05:01,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
250,5,1000,25000,250000,25.062514,0.000406,0.022676,25.085852,99.91,0.09,Tesla T4,2025-08-27 10:05:01,2025-08-27 10:05:26,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
250,6,1000,25000,250000,25.197589,0.000405,0.024641,25.222924,99.90,0.10,Tesla T4,2025-08-27 10:05:27,2025-08-27 10:05:52,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
250,7,1000,25000,250000,25.190367,0.000439,0.022982,25.214036,99.91,0.09,Tesla T4,2025-08-27 10:05:52,2025-08-27 10:06:17,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
250,8,1000,25000,250000,25.238981,0.000408,0.022303,25.261920,99.91,0.09,Tesla T4,2025-08-27 10:06:18,2025-08-27 10:06:43,2.212166e+06,15642329088,15523905536,118423552,15255470080,386859008,2.47
500,1,1000,50000,500000,26.707828,0.000811,0.049746,26.758625,99.81,0.19,Tesla T4,2025-08-27 10:06:44,2025-08-27 10:07:10,5.053712e+06,15642329088,15523905536,118423552,15054143488,588185600,3.76
